date,serial_number,model,capacity_bytes,failure,datacenter,cluster_id,vault_id,pod_id,pod_slot_num,is_legacy_format,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_16_normalized,smart_16_raw,smart_17_normalized,smart_17_raw,smart_18_normalized,smart_18_raw,smart_22_normalized,smart_22_raw,smart_23_normalized,smart_23_raw,smart_24_normalized,smart_24_raw,smart_27_normalized,smart_27_raw,smart_71_normalized,smart_71_raw,smart_82_normalized,smart_82_raw,smart_90_normalized,smart_90_raw,smart_160_normalized,smart_160_raw,smart_161_normalized,smart_161_raw,smart_163_normalized,smart_163_raw,smart_164_normalized,smart_164_raw,smart_165_normalized,smart_165_raw,smart_166_normalized,smart_166_raw,smart_167_normalized,smart_167_raw,smart_168_normalized,smart_168_raw,smart_169_normalized,smart_169_raw,smart_170_normalized,smart_170_raw,smart_171_normalized,smart_171_raw,smart_172_normalized,smart_172_raw,smart_173_normalized,smart_173_raw,smart_174_normalized,smart_174_raw,smart_175_normalized,smart_175_raw,smart_176_normalized,smart_176_raw,smart_177_normalized,smart_177_raw,smart_178_normalized,smart_178_raw,smart_179_normalized,smart_179_raw,smart_180_normalized,smart_180_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_202_normalized,smart_202_raw,smart_206_normalized,smart_206_raw,smart_210_normalized,smart_210_raw,smart_218_normalized,smart_218_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_230_normalized,smart_230_raw,smart_231_normalized,smart_231_raw,smart_232_normalized,smart_232_raw,smart_233_normalized,smart_233_raw,smart_234_normalized,smart_234_raw,smart_235_normalized,smart_235_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_244_normalized,smart_244_raw,smart_245_normalized,smart_245_raw,smart_246_normalized,smart_246_raw,smart_247_normalized,smart_247_raw,smart_248_normalized,smart_248_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw
2024-01-01,ZHZ4XJ3P,ST12000NM0008,12000138625024.0,0.0,phx1,0.0,1065.0,4.0,40.0,False,81.0,113315968.0,,,90.0,0.0,100.0,16.0,100.0,0.0,88.0,4988630312.0,,,60.0,35375.0,100.0,0.0,,,100.0,16.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,4.0,100.0,131074.0,,,61.0,39.0,,,100.0,5.0,100.0,1898.0,39.0,39.0,2.0,113315968.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,35129.0,100.0,113372135088.0,100.0,638207168210.0,,,,,,,,,,,,,,,,,,,,
2024-01-01,ZHZ50R53,ST12000NM0008,12000138625024.0,0.0,phx1,0.0,1065.0,6.0,12.0,False,79.0,71060464.0,,,91.0,0.0,100.0,15.0,99.0,4064.0,89.0,844287379.0,,,60.0,35381.0,100.0,0.0,,,100.0,14.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,23.0,100.0,17180262406.0,,,72.0,28.0,,,100.0,4.0,99.0,2098.0,28.0,28.0,2.0,71060464.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,35081.0,100.0,111609745128.0,100.0,648472713374.0,,,,,,,,,,,,,,,,,,,,
2024-01-01,ZHZ4MKHN,ST12000NM0008,12000138625024.0,0.0,phx1,0.0,1065.0,11.0,51.0,False,84.0,223906232.0,,,90.0,0.0,100.0,14.0,100.0,1488.0,83.0,211620962.0,,,60.0,35375.0,100.0,0.0,,,100.0,14.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,33.0,100.0,196611.0,,,66.0,34.0,,,100.0,2.0,100.0,1874.0,34.0,34.0,1.0,223906232.0,,,100.0,8.0,100.0,8.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,35138.0,100.0,112749676792.0,100.0,717553669464.0,,,,,,,,,,,,,,,,,,,,
2024-01-01,ZHZ50M1Q,ST12000NM0008,12000138625024.0,0.0,phx1,0.0,1065.0,18.0,17.0,False,82.0,156734072.0,,,90.0,0.0,100.0,15.0,100.0,0.0,78.0,65603844.0,,,60.0,35365.0,100.0,0.0,,,100.0,13.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,3.0,100.0,0.0,,,64.0,36.0,,,100.0,3.0,100.0,1962.0,36.0,36.0,1.0,156734072.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,35048.0,100.0,110862999400.0,100.0,731580537368.0,,,,,,,,,,,,,,,,,,,,
2024-01-01,ZHZ62N7Y,ST12000NM0008,12000138625024.0,0.0,phx1,0.0,1068.0,0.0,46.0,False,83.0,207000128.0,,,90.0,0.0,100.0,11.0,100.0,832.0,78.0,62322237.0,,,62.0,33685.0,100.0,0.0,,,100.0,11.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,19.0,100.0,0.0,,,64.0,36.0,,,100.0,2.0,99.0,2788.0,36.0,36.0,1.0,207000128.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,33258.0,100.0,113255782576.0,100.0,645497477080.0,,,,,,,,,,,,,,,,,,,,
2024-01-01,ZHZ5VVHY,ST12000NM0008,12000138625024.0,0.0,phx1,0.0,1068.0,1.0,12.0,False,71.0,12401352.0,,,90.0,0.0,100.0,13.0,100.0,0.0,89.0,816259160.0,,,62.0,33686.0,100.0,0.0,,,100.0,12.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,1.0,100.0,0.0,,,67.0,33.0,,,100.0,4.0,99.0,2878.0,33.0,33.0,2.0,12401352.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,33237.0,100.0,111129905680.0,100.0,717985664300.0,,,,,,,,,,,,,,,,,,,,
2024-01-01,ZHZ63E90,ST12000NM0008,12000138625024.0,0.0,phx1,0.0,1068.0,1.0,46.0,False,83.0,215140256.0,,,90.0,0.0,100.0,13.0,100.0,80.0,89.0,777458826.0,,,62.0,33693.0,100.0,0.0,,,100.0,13.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,52.0,100.0,25771573275.0,,,66.0,34.0,,,100.0,5.0,99.0,3369.0,34.0,34.0,1.0,215140256.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,33153.0,100.0,112760458912.0,100.0,704350723048.0,,,,,,,,,,,,,,,,,,,,
2024-01-01,ZHZ52CHV,ST12000NM0008,12000138625024.0,0.0,phx1,0.0,1068.0,2.0,16.0,False,81.0,141189376.0,,,90.0,0.0,100.0,12.0,100.0,0.0,89.0,736928834.0,,,62.0,33691.0,100.0,0.0,,,100.0,11.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,68.0,32.0,,,100.0,3.0,99.0,2861.0,32.0,32.0,1.0,141189376.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,33247.0,100.0,110039903664.0,100.0,643276370884.0,,,,,,,,,,,,,,,,,,,,
2024-01-01,ZHZ63EM4,ST12000NM0008,12000138625024.0,0.0,phx1,0.0,1068.0,2.0,48.0,False,83.0,194177440.0,,,90.0,0.0,100.0,12.0,100.0,368.0,89.0,784327252.0,,,62.0,33696.0,100.0,0.0,,,100.0,12.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,3.0,100.0,0.0,,,62.0,38.0,,,100.0,3.0,99.0,2753.0,38.0,38.0,2.0,194177440.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,33277.0,100.0,113302430824.0,100.0,657889108738.0,,,,,,,,,,,,,,,,,,,,
2024-01-01,ZHZ62XG9,ST12000NM0008,12000138625024.0,0.0,phx1,0.0,1068.0,4.0,37.0,False,81.0,124863392.0,,,90.0,0.0,100.0,17.0,100.0,32.0,86.0,9438323877.0,,,62.0,33690.0,100.0,0.0,,,100.0,17.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,65.0,35.0,,,100.0,4.0,99.0,2751.0,35.0,35.0,1.0,124863392.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,33261.0,100.0,111326617184.0,100.0,700323402912.0,,,,,,,,,,,,,,,,,,,,
